timestamp,emotion,confidence,angry,disgust,fear,happy,sad,surprise,neutral
2026-03-05T13:41:34.761073,sad,0.274,0.224,0.0,0.09,0.106,0.274,0.026,0.274
2026-03-05T13:41:34.853859,sad,0.29,0.212,0.0,0.088,0.104,0.29,0.024,0.278
2026-03-05T13:41:34.863532,sad,0.3,0.214,0.0,0.088,0.1,0.3,0.024,0.272
2026-03-05T13:41:34.902748,sad,0.322,0.2,0.0,0.088,0.096,0.322,0.024,0.268
2026-03-05T13:41:34.908782,sad,0.344,0.176,0.0,0.084,0.098,0.344,0.022,0.272
2026-03-05T13:41:34.967109,sad,0.354,0.152,0.0,0.078,0.114,0.354,0.02,0.276
2026-03-05T13:41:34.977543,sad,0.354,0.136,0.0,0.076,0.128,0.354,0.02,0.278
2026-03-05T13:41:35.033222,sad,0.36,0.124,0.0,0.076,0.136,0.36,0.02,0.276
2026-03-05T13:41:35.040429,sad,0.354,0.128,0.0,0.076,0.144,0.354,0.02,0.272
2026-03-05T13:41:35.096019,sad,0.322,0.126,0.0,0.07,0.146,0.322,0.022,0.31
2026-03-05T13:41:35.108279,neutral,0.348,0.124,0.0,0.066,0.134,0.302,0.024,0.348
2026-03-05T13:41:35.158646,neutral,0.378,0.12,0.0,0.062,0.124,0.292,0.022,0.378
2026-03-05T13:41:35.165476,neutral,0.412,0.112,0.0,0.056,0.12,0.276,0.02,0.412
2026-03-05T13:41:35.221998,neutral,0.44,0.102,0.0,0.054,0.118,0.258,0.022,0.44
2026-03-05T13:41:35.231931,neutral,0.426,0.098,0.0,0.058,0.122,0.266,0.022,0.426
2026-03-05T13:41:35.319958,neutral,0.412,0.096,0.0,0.062,0.112,0.288,0.02,0.412
2026-03-05T13:41:35.331516,neutral,0.406,0.096,0.0,0.066,0.1,0.3,0.022,0.406
2026-03-05T13:41:35.413769,neutral,0.386,0.096,0.0,0.07,0.094,0.32,0.024,0.386
2026-03-05T13:41:35.431144,neutral,0.372,0.098,0.0,0.07,0.086,0.342,0.022,0.372
2026-03-05T13:41:35.479390,neutral,0.362,0.108,0.0,0.072,0.082,0.346,0.02,0.362
2026-03-05T13:41:35.497279,neutral,0.352,0.116,0.0,0.074,0.092,0.336,0.02,0.352
2026-03-05T13:41:35.568383,sad,0.338,0.116,0.0,0.074,0.102,0.338,0.022,0.338
2026-03-05T13:41:35.585508,neutral,0.338,0.116,0.0,0.074,0.106,0.332,0.024,0.338
2026-03-05T13:41:35.765985,neutral,0.342,0.118,0.0,0.076,0.118,0.314,0.026,0.342
2026-03-05T13:41:35.772726,neutral,0.342,0.112,0.0,0.076,0.126,0.314,0.028,0.342
2026-03-05T13:41:35.833795,neutral,0.348,0.106,0.0,0.072,0.126,0.32,0.028,0.348
2026-03-05T13:41:35.838996,neutral,0.358,0.108,0.0,0.07,0.126,0.314,0.026,0.358
2026-03-05T13:41:35.896040,neutral,0.364,0.112,0.0,0.066,0.124,0.314,0.022,0.364
2026-03-05T13:41:35.905104,neutral,0.366,0.114,0.0,0.06,0.114,0.326,0.018,0.366
2026-03-05T13:41:35.957815,neutral,0.356,0.118,0.0,0.064,0.11,0.332,0.016,0.356
2026-03-05T13:41:35.964886,neutral,0.34,0.122,0.0,0.072,0.114,0.332,0.016,0.34
2026-03-05T13:41:36.022796,sad,0.344,0.112,0.0,0.072,0.114,0.344,0.016,0.338
2026-03-05T13:41:36.041259,sad,0.35,0.1,0.0,0.074,0.116,0.35,0.018,0.34
2026-03-05T13:41:36.103046,sad,0.348,0.1,0.0,0.08,0.118,0.348,0.022,0.332
2026-03-05T13:41:36.110680,sad,0.352,0.098,0.0,0.076,0.114,0.352,0.024,0.336
2026-03-05T13:41:36.167103,sad,0.354,0.09,0.0,0.072,0.114,0.354,0.026,0.344
2026-03-05T13:41:36.173570,sad,0.344,0.096,0.0,0.076,0.118,0.344,0.028,0.338
2026-03-05T13:41:36.230238,sad,0.34,0.112,0.0,0.08,0.112,0.34,0.032,0.322
2026-03-05T13:41:36.237019,sad,0.344,0.116,0.0,0.08,0.106,0.344,0.034,0.316
2026-03-05T13:41:36.358727,sad,0.342,0.108,0.0,0.078,0.108,0.342,0.032,0.328
2026-03-05T13:41:36.364686,sad,0.342,0.106,0.0,0.076,0.106,0.342,0.03,0.336
2026-03-05T13:41:36.483175,sad,0.342,0.112,0.0,0.074,0.112,0.342,0.03,0.326
2026-03-05T13:41:36.504353,sad,0.336,0.108,0.0,0.072,0.128,0.336,0.028,0.326
2026-03-05T13:41:36.580076,neutral,0.35,0.104,0.0,0.066,0.13,0.324,0.024,0.35
2026-03-05T13:41:36.586438,neutral,0.356,0.112,0.0,0.062,0.124,0.318,0.024,0.356
2026-03-05T13:41:36.628855,neutral,0.36,0.114,0.0,0.058,0.13,0.308,0.026,0.36
2026-03-05T13:41:36.635835,neutral,0.382,0.108,0.0,0.054,0.128,0.298,0.026,0.382
2026-03-05T13:41:36.679795,neutral,0.394,0.1,0.0,0.05,0.118,0.308,0.024,0.394
2026-03-05T13:41:36.695959,neutral,0.382,0.092,0.0,0.05,0.122,0.324,0.024,0.382
2026-03-05T13:41:36.762605,neutral,0.396,0.086,0.0,0.048,0.128,0.312,0.026,0.396
2026-03-05T13:41:36.779688,neutral,0.412,0.086,0.0,0.046,0.122,0.304,0.026,0.412
2026-03-05T13:41:36.968810,neutral,0.406,0.088,0.0,0.046,0.126,0.304,0.026,0.406
2026-03-05T13:41:36.974477,neutral,0.41,0.092,0.0,0.046,0.138,0.284,0.028,0.41
2026-03-05T13:41:37.014477,neutral,0.41,0.094,0.0,0.048,0.146,0.274,0.03,0.41
2026-03-05T13:41:37.032098,neutral,0.384,0.094,0.0,0.052,0.152,0.292,0.03,0.384
2026-03-05T13:41:37.250985,neutral,0.34,0.102,0.0,0.056,0.154,0.324,0.028,0.34
2026-03-05T13:41:37.266121,sad,0.348,0.108,0.0,0.058,0.146,0.348,0.026,0.318
2026-03-05T13:41:37.445510,sad,0.366,0.126,0.0,0.062,0.124,0.366,0.026,0.298
2026-03-05T13:41:37.453418,sad,0.374,0.146,0.0,0.064,0.106,0.374,0.026,0.282
2026-03-05T13:41:37.881337,sad,0.354,0.158,0.0,0.07,0.14,0.354,0.03,0.246
2026-03-05T13:41:37.896182,sad,0.32,0.162,0.0,0.076,0.178,0.32,0.036,0.228
2026-03-05T13:41:38.083447,sad,0.294,0.172,0.0,0.084,0.184,0.294,0.042,0.224
2026-03-05T13:41:38.103890,sad,0.274,0.17,0.0,0.09,0.204,0.274,0.046,0.218
2026-03-05T13:41:38.147978,sad,0.25,0.166,0.0,0.09,0.236,0.25,0.044,0.218
2026-03-05T13:41:38.167867,sad,0.254,0.17,0.0,0.086,0.216,0.254,0.038,0.238
2026-03-05T13:41:38.250222,sad,0.282,0.176,0.0,0.088,0.18,0.282,0.034,0.24
2026-03-05T13:41:38.260152,sad,0.302,0.176,0.0,0.088,0.176,0.302,0.03,0.228
2026-03-05T13:41:38.300212,sad,0.312,0.172,0.0,0.088,0.186,0.312,0.026,0.216
2026-03-05T13:41:38.306966,sad,0.326,0.17,0.0,0.094,0.184,0.326,0.028,0.198
2026-03-05T13:41:38.374800,sad,0.342,0.166,0.0,0.094,0.18,0.342,0.03,0.19
2026-03-05T13:41:38.381627,sad,0.334,0.16,0.0,0.088,0.192,0.334,0.03,0.2
2026-03-05T13:41:38.447975,sad,0.308,0.16,0.0,0.08,0.206,0.308,0.028,0.22
2026-03-05T13:41:38.455244,sad,0.292,0.164,0.0,0.072,0.206,0.292,0.026,0.24
2026-03-05T13:41:38.630080,sad,0.298,0.164,0.0,0.066,0.196,0.298,0.024,0.252
2026-03-05T13:41:38.636029,sad,0.302,0.166,0.0,0.066,0.188,0.302,0.022,0.254
2026-03-05T13:41:38.679690,sad,0.304,0.176,0.0,0.076,0.17,0.304,0.022,0.25
2026-03-05T13:41:38.714469,sad,0.324,0.18,0.0,0.088,0.15,0.324,0.024,0.236
2026-03-05T13:41:38.780502,sad,0.35,0.174,0.0,0.094,0.142,0.35,0.028,0.216
2026-03-05T13:41:38.800581,sad,0.354,0.172,0.0,0.098,0.144,0.354,0.032,0.204
2026-03-05T13:41:38.863344,sad,0.338,0.174,0.0,0.098,0.14,0.338,0.032,0.22
2026-03-05T13:41:38.869187,sad,0.324,0.168,0.0,0.088,0.146,0.324,0.03,0.242
2026-03-05T13:41:38.901825,sad,0.318,0.168,0.0,0.078,0.162,0.318,0.028,0.242
2026-03-05T13:41:38.912439,sad,0.306,0.178,0.0,0.074,0.166,0.306,0.024,0.248
2026-03-05T13:41:39.029423,sad,0.292,0.19,0.0,0.074,0.162,0.292,0.022,0.256
2026-03-05T13:41:39.036764,sad,0.298,0.198,0.0,0.078,0.164,0.298,0.024,0.236
2026-03-05T13:41:39.096934,sad,0.306,0.208,0.0,0.082,0.168,0.306,0.026,0.214
2026-03-05T13:41:39.114232,sad,0.306,0.212,0.0,0.086,0.162,0.306,0.028,0.214
2026-03-05T13:41:39.160390,sad,0.314,0.204,0.0,0.09,0.158,0.314,0.032,0.21
2026-03-05T13:41:39.176336,sad,0.324,0.194,0.0,0.09,0.162,0.324,0.034,0.204
2026-03-05T13:41:39.250056,sad,0.32,0.186,0.0,0.088,0.168,0.32,0.036,0.21
2026-03-05T13:41:39.261180,sad,0.314,0.176,0.0,0.086,0.172,0.314,0.038,0.218
2026-03-05T13:41:39.298910,sad,0.316,0.158,0.0,0.084,0.182,0.316,0.036,0.224
2026-03-05T13:41:39.305281,sad,0.31,0.152,0.0,0.082,0.19,0.31,0.032,0.234
2026-03-05T13:41:39.363624,sad,0.306,0.15,0.0,0.078,0.188,0.306,0.028,0.25
2026-03-05T13:41:39.370108,sad,0.316,0.146,0.0,0.076,0.184,0.316,0.024,0.254
2026-03-05T13:41:39.509914,sad,0.326,0.15,0.0,0.076,0.174,0.326,0.02,0.254
2026-03-05T13:41:39.516217,sad,0.328,0.162,0.0,0.076,0.158,0.328,0.02,0.256
2026-03-05T13:41:39.574796,sad,0.326,0.17,0.0,0.074,0.148,0.326,0.022,0.26
2026-03-05T13:41:39.582305,sad,0.322,0.174,0.0,0.074,0.148,0.322,0.024,0.258
2026-03-05T13:41:39.766459,sad,0.312,0.186,0.0,0.076,0.144,0.312,0.026,0.258
2026-03-05T13:41:39.781543,sad,0.302,0.19,0.0,0.076,0.146,0.302,0.028,0.262
2026-03-05T13:41:39.830721,sad,0.294,0.186,0.0,0.082,0.156,0.294,0.032,0.254
2026-03-05T13:41:39.837818,sad,0.29,0.186,0.0,0.09,0.16,0.29,0.034,0.244
2026-03-05T13:41:39.878356,sad,0.294,0.192,0.0,0.094,0.156,0.294,0.034,0.234
2026-03-05T13:41:39.914216,sad,0.304,0.19,0.0,0.096,0.156,0.304,0.034,0.222
2026-03-05T13:41:40.432040,sad,0.306,0.184,0.0,0.102,0.168,0.306,0.034,0.206
2026-03-05T13:41:40.439318,sad,0.306,0.186,0.0,0.102,0.172,0.306,0.032,0.202
2026-03-05T13:41:40.550874,sad,0.3,0.198,0.0,0.1,0.166,0.3,0.03,0.208
2026-03-05T13:41:40.568872,sad,0.286,0.204,0.0,0.102,0.168,0.286,0.03,0.214
2026-03-05T13:41:40.892968,sad,0.282,0.2,0.0,0.1,0.172,0.282,0.028,0.222
2026-03-05T13:41:40.903819,sad,0.286,0.2,0.0,0.094,0.164,0.286,0.026,0.234
2026-03-05T13:41:41.064202,sad,0.288,0.194,0.0,0.084,0.142,0.288,0.024,0.272
2026-03-05T13:41:41.071264,neutral,0.3,0.178,0.0,0.076,0.13,0.296,0.022,0.3
2026-03-05T13:41:41.109659,sad,0.306,0.162,0.0,0.072,0.142,0.306,0.022,0.296
2026-03-05T13:41:41.116043,sad,0.306,0.156,0.0,0.072,0.152,0.306,0.024,0.29
2026-03-05T13:41:41.162578,sad,0.302,0.16,0.0,0.072,0.148,0.302,0.024,0.296
2026-03-05T13:41:41.176432,sad,0.3,0.17,0.0,0.076,0.158,0.3,0.024,0.276
2026-03-05T13:41:41.267875,sad,0.308,0.178,0.0,0.078,0.166,0.308,0.026,0.248
2026-03-05T13:41:41.273515,sad,0.314,0.186,0.0,0.076,0.15,0.314,0.026,0.252
2026-03-05T13:41:41.302921,sad,0.31,0.188,0.0,0.072,0.152,0.31,0.024,0.258
2026-03-05T13:41:41.314936,sad,0.31,0.18,0.0,0.068,0.168,0.31,0.024,0.252
